raw_name,canonical_name
"('Zakhár', 8)","('Zakhár', 8)"
"('Vasíli Dmítrich', 8)","('Vasíli Dmítrich', 8)"
"('Anísya Fëdorovna', 8)","('Anísya Fëdorovna', 8)"
"('Dimmler', 8)","('Dimmler', 8)"
"('Karágins', 8)","('Karágins', 8)"
"('Chernýshev', 8)","('Chernýshev', 8)"
"('Aunt', 8)","('Aunt', 8)"
"('Saviour', 7)","('Saviour', 7)"
"('Ilyá', 7)","('Ilyá', 7)"
"('Hurrah', 7)","('Hurrah', 7)"
"('Prince Auersperg', 7)","('Prince Auersperg', 7)"
"('Schön Grabern', 7)","('Schön Grabern', 7)"
"('Rhetor', 7)","('Rhetor', 7)"
"('Joseph Alexéevich’s', 7)","('Joseph Alexéevich’s', 7)"
"('Countess Bezúkhova', 7)","('Countess Bezúkhova', 7)"
"('Miss', 7)","('Miss', 7)"
"('Perónskaya', 7)","('Perónskaya', 7)"
"('Mummy', 7)","('Mummy', 7)"
"('Melyukóvs', 7)","('Melyukóvs', 7)"
"('Pelagéya Danílovna', 7)","('Pelagéya Danílovna', 7)"
"('Peter Kirílych', 7)","('Peter Kirílych', 7)"
"('Dessalles', 7)","('Dessalles', 7)"
"('Hippolyte', 6)","('Hippolyte', 6)"
"('Andrew Bolkónski', 6)","('Andrew Bolkónski', 6)"
"('Rumyántsev', 6)","('Rumyántsev', 6)"
"('Paul', 6)","('Paul', 6)"
"('Váska Denísov', 6)","('Váska Denísov', 6)"
"('Rook', 6)","('Rook', 6)"
"('Bedouin', 6)","('Bedouin', 6)"
"('Mortier', 6)","('Mortier', 6)"
"('Marie', 6)","('Marie', 6)"
"('Katie', 6)","('Katie', 6)"
"('Markóv', 6)","('Markóv', 6)"
"('Tit', 6)","('Tit', 6)"
"('Michael', 6)","('Michael', 6)"
"('Mílka', 6)","('Mílka', 6)"
"('Armfeldt', 6)","('Armfeldt', 6)"
"('Zdrzhinski', 6)","('Zdrzhinski', 6)"
"('Rostopchín', 6)","('Rostopchín', 6)"
"('Shevárdino', 6)","('Shevárdino', 6)"
"('Túchkov', 6)","('Túchkov', 6)"
"('M. de Beausset', 6)","('M. de Beausset', 6)"
"('Granddad', 6)","('Granddad', 6)"
"('Berëzina', 6)","('Berëzina', 6)"
"('Savélich', 6)","('Savélich', 6)"
"('Antichrist', 5)","('Antichrist', 5)"
"('Englishman', 5)","('Englishman', 5)"
"('Cyril Vladímirovich', 5)","('Cyril Vladímirovich', 5)"
"('Je', 5)","('Je', 5)"
"('Moreau', 5)","('Moreau', 5)"
"('Michael Ilariónovich', 5)","('Michael Ilariónovich', 5)"
"('Hofkriegsrath', 5)","('Hofkriegsrath', 5)"
"('Cossack', 5)","('Cossack', 5)"
"('God', 5)","('God', 5)"
"('Count Rostopchín', 5)","('Count Rostopchín', 5)"
"('Louis XVI', 5)","('Louis XVI', 5)"
"('Fédya', 5)","('Fédya', 5)"
"('Rostóvs', 5)","('Rostóvs', 5)"
"('Peter Kirílovich', 5)","('Peter Kirílovich', 5)"
"('Stein', 5)","('Stein', 5)"
"('Prince Volkónski', 5)","('Prince Volkónski', 5)"
"('Vítebsk', 5)","('Vítebsk', 5)"
"('Mary Hendríkhovna’s', 5)","('Mary Hendríkhovna’s', 5)"
"('Besuhof', 5)","('Besuhof', 5)"
"('Gérard', 5)","('Gérard', 5)"
"('Klyucharëv', 5)","('Klyucharëv', 5)"
"('Jesus Christ', 5)","('Jesus Christ', 5)"
"('Yaúza', 5)","('Yaúza', 5)"
"('Likhachëv', 5)","('Likhachëv', 5)"
"('Louis XIV', 5)","('Louis XIV', 5)"
"('Anna Pávlovna Schérer', 4)","('Anna Pávlovna Schérer', 4)"
"('Vicomte', 4)","('Vicomte', 4)"
"('Peter Nikoláevich', 4)","('Peter Nikoláevich', 4)"
"('Másha', 4)","('Másha', 4)"
"('Bogdánich', 4)","('Bogdánich', 4)"
"('Captain', 4)","('Captain', 4)"
"('tipsy', 4)","('tipsy', 4)"
"('bush', 4)","('bush', 4)"
